"215918_s_at","217046_s_at","205941_s_at","202524_s_at","217428_s_at","217771_at","207302_at","206208_at","206209_s_at","213715_s_at","205637_s_at","205107_s_at","217177_s_at","204396_s_at","203435_s_at","220027_s_at","210608_s_at","49111_at","202523_s_at","221861_at","207547_s_at","205200_at","209470_s_at","210081_at","206283_s_at","219719_at","209469_at","212115_at","209793_at","204271_s_at","209875_s_at","43511_s_at","219508_at","210838_s_at","202148_s_at","200878_at","209904_at","219125_s_at","212975_at","209074_s_at","201004_at","204500_s_at","220677_s_at","63305_at","204677_at","216620_s_at","219059_s_at","209789_at","208981_at"
7.153849773,7.009421288,10.21883138,9.074460238,10.31972197,10.66908883,6.543055779,5.850308469,6.971026822,7.065570478,7.491655054,8.013082809,5.685155367,8.77647053,8.3104445,8.684627681,6.260101111,7.905570007,7.982143454,9.18950832,7.193007558,8.698560081,6.454032525,8.938857271,5.974363598,8.114131516,5.710697,9.911207626,6.142993549,8.361688199,12.05057494,8.508922292,8.919291454,6.539480487,8.006353437,12.15478147,5.573302239,8.456683523,8.519979737,8.79845236,11.95458194,7.070315943,5.879061828,7.640446903,8.210323422,9.131957363,8.358244661,7.049725133,9.765349352
8.729790817,10.34410105,6.915342796,11.0231181,5.545015655,6.985966681,7.624117503,8.262916807,9.976652367,8.379955577,8.554076797,6.72658356,7.401671687,10.62317319,10.4768372,10.39558934,6.57371325,9.191527125,8.867625389,10.48943737,8.89465199,12.07781603,10.04264671,12.76051032,7.587771733,9.388541617,9.164240984,9.272136979,7.809321435,10.44580316,7.824963839,9.846434718,6.469155447,7.789476224,7.496589965,13.79096865,9.6883113,8.244429032,9.474649536,11.21371841,10.84072989,7.656569268,7.736548891,8.602760341,9.806784178,9.953581146,9.365163363,8.030673097,11.31322756
7.354446038,6.1595177,8.663879641,7.83926038,7.214950855,7.593346212,6.882609782,5.592893325,6.998835756,6.730026875,8.011361076,8.778211626,5.503344902,6.647853274,8.381179444,7.950319976,6.913996329,8.050219079,8.202184554,9.373606202,7.262629918,6.515484994,6.077724932,6.236950082,5.435783445,7.851053881,5.34637208,9.84239616,6.328199354,7.815680065,10.71979692,8.567219704,7.953348301,6.751977274,8.92901245,9.624238468,5.009753933,8.963650326,8.267015028,6.573177103,11.80801153,7.196492214,5.406182028,7.500290644,7.526138423,8.864151542,8.011018748,7.217784698,8.261812872
8.835392753,9.77050254,7.436893667,10.58927694,5.584804246,6.966911247,7.680736893,7.92758727,9.763545208,8.274247865,8.824406228,6.500174454,7.558806942,10.67184861,10.37294791,10.47919378,6.715256737,9.080687712,8.707476067,10.55177339,9.729168179,11.69193591,10.09774001,12.17016179,7.708352514,9.259214087,8.476517385,9.250885403,7.64410439,10.60769991,6.971390415,9.978181218,6.688242409,7.056976311,7.575025288,13.97239244,8.640712564,8.205810398,9.277294791,11.38260725,10.6198989,7.520435424,7.351726379,8.79018533,10.07826728,10.27551247,9.231949163,7.457135866,11.10760811
7.283534171,5.893807063,8.469896746,7.813737264,7.731352867,8.812510765,6.881417742,5.559623615,6.850391638,6.785934952,7.783015372,7.279484626,5.579294812,6.775871556,9.945488243,8.17238396,7.283919868,7.941384134,8.014574081,9.210721633,7.07457787,7.656737352,5.730553764,6.766629139,5.75916379,8.209085494,5.242651956,10.36164254,6.206079023,7.799564709,11.59258449,8.359577553,7.74872662,6.553007373,7.872159667,11.07898163,4.940311017,8.626820533,7.799377141,7.357722075,12.7586131,6.85520989,5.345721317,7.563878974,6.51744644,8.699511932,7.821979441,6.936313743,9.51236887
7.106968054,6.244765633,9.912277844,8.383708987,9.287301329,9.168979668,6.707758874,5.40637681,6.748793378,6.801086118,7.992054248,7.746153283,5.721662225,8.939531217,8.494421048,8.183833098,7.249696563,8.037817558,7.996520681,9.343076826,7.393807131,7.737645656,6.082889354,7.719830681,5.895466995,7.819183985,5.236634506,10.27777656,6.216865018,8.033666446,10.10244956,8.508885245,7.080100929,6.553263061,8.982476975,11.48963429,6.088655779,9.240923278,7.929005682,7.996503253,12.22836135,6.702317552,5.456326473,7.653847104,7.381125202,8.684640611,8.134247266,7.123277814,9.963856738
7.609908488,6.003936274,8.106333024,7.424194915,6.757829206,9.182515794,6.726456494,5.412926797,6.680410752,6.841518477,8.076090949,7.555154469,5.740300406,7.244103992,10.65939223,7.858541868,8.662736693,7.756492004,8.181459683,8.95665092,7.316800113,7.184744309,6.006327529,7.101196718,5.80544103,7.889530065,5.106795748,10.55468576,6.312521065,7.881398524,11.12733,8.013152694,7.369709268,6.796437426,8.807105139,10.2638881,5.082307905,8.833419889,8.149085746,7.220028036,10.82914096,6.860340859,5.627352881,7.647171455,5.939049236,8.885650816,8.437818449,7.168959205,8.862150171
7.356629585,7.752448057,9.341711259,9.25154453,8.241104732,8.329498096,6.807524409,5.97302504,7.066002258,6.859352588,7.917231912,7.333092239,6.178602652,8.762718683,8.335484699,9.086155922,6.745862028,7.580856695,8.314403346,9.013817926,7.370630794,9.171504718,7.255101028,10.06915962,6.187463034,8.96465443,5.732358535,9.788827575,6.099368102,8.923710835,12.27376725,8.251567818,7.059265581,6.858311742,8.465737278,11.87152193,6.686997745,8.658140353,8.81239563,8.243607711,11.30219083,7.28007762,5.387672857,8.238382636,9.115684307,9.427127745,10.22174517,7.294137009,10.38746103
7.463079331,6.375404343,10.50141435,7.659860352,10.32689069,9.062090612,6.786978853,5.49839894,6.837741323,7.11255742,8.043178428,7.343874499,5.539155301,6.505241198,9.10855603,7.803979027,7.164785206,7.822027737,8.166992249,9.087325878,7.237486255,6.308475885,5.881748596,6.411932638,5.858544666,7.561752751,4.976041872,10.51637178,6.598938838,7.619858134,11.52260705,8.275245406,7.385446498,6.841292744,8.740533015,10.4983274,4.841190159,9.138318338,8.054105536,6.525294052,11.53042031,6.745239658,5.706313222,7.477795253,5.332512115,8.653718485,7.960573754,7.184795881,8.859343436
8.234818721,8.703839073,7.699249012,10.06215071,5.760531977,6.899902316,7.158290024,7.125658044,9.022516268,7.540096745,8.532442933,6.534998058,6.47696483,8.762600134,9.447676512,9.287557442,6.570508457,8.793115428,8.914802598,10.26646191,8.853818501,10.10733953,7.931318635,10.68537706,6.737099779,9.06056394,6.95268048,8.994584929,6.714253698,10.05156288,7.65937888,9.366374097,7.030331538,7.060642277,8.43804206,12.84252896,7.544551929,8.43425386,8.867177958,10.14757124,10.51316235,7.231841956,6.710074509,8.11073688,9.288823654,9.354467814,9.007827608,7.936671102,10.7422339
